Date,Category,Category Group,Amount,Year,Month
2025-04-04,AE BARB,Other Expenses,406.32,2025,4
2025-04-04,AFROLO,Other Expenses,305.0,2025,4
2025-04-04,BOSBOK GAS,Other Expenses,588.0,2025,4
2025-04-04,DIESEL,Other Expenses,800.0,2025,4
2025-04-04,OBARO,Other Expenses,2154.0,2025,4
2025-04-04,PNP,Other Expenses,407.24,2025,4
2025-04-05,AE BARB,Other Expenses,192.98,2025,4
2025-04-05,ELECTRICITY,Utilities,800.0,2025,4
2025-04-06,DIESEL,Other Expenses,850.0,2025,4
2025-04-06,DIESEL,Other Expenses,800.0,2025,4
2025-04-06,MISS SUPERMARKET,Other Expenses,220.0,2025,4
2025-04-06,SHOPRITE,Supplies,349.93,2025,4
2025-04-06,WASI,Raw Materials,3881.84,2025,4
2025-04-07,BACK 2 BASICS,Other Expenses,60.0,2025,4
2025-04-07,DIESEL,Other Expenses,800.0,2025,4
2025-04-07,SHOPRITE,Supplies,449.91,2025,4
2025-04-07,SOAP CENTRE,Other Expenses,480.0,2025,4
2025-04-07,WASI,Raw Materials,7033.48,2025,4
2025-04-08,AE BARB CS,Other Expenses,264.17,2025,4
2025-04-08,CAVALIERI CHEESE,Other Expenses,548.32,2025,4
2025-04-08,CHIPKINS,Raw Materials,16547.13,2025,4
2025-04-08,DIESEL,Other Expenses,495.89,2025,4
2025-04-08,FAMILY STORE,Other Expenses,77.0,2025,4
